No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
25,36429,-77.25,6.25,9432.0,55.788999999999994,24.2,1966,1990,18.0,CO,SA,Atrato
49,33002,-122.25,37.75,60885.0,21.504,57.0,1948,2006,0.0,US,,Sacramento
70,22857,86.75,20.75,50000.0,21.283,1.0,1971,1971,-9999.0,IN,AS,Brahmani
29,22319,-58.75,6.25,66600.0,66.436,28.8,1965,1995,18.0,GY,SA,Essequibo
55,21111,120.25,34.25,121330.0,26.971,53.7,1915,1989,25.0,CN,AS,Huai
187,20000,135.25,-14.75,47400.0,3.147,32.8,1966,2001,15.5,AU,AU,Roper
90,19444,103.25,3.25,19000.0,16.895,31.7,1963,2000,31.0,MY,AS,Pahang
54,19000,-81.75,52.25,118000.0,30.08,34.4,1964,2005,67.0,CA,,Albany
88,18947,-0.75,44.75,52000.0,19.264,58.3,1920,1979,17.0,FR,EU,Garonne
79,18636,-68.75,-50.25,15550.0,22.011,37.6,1955,1994,206.0,AR,SA,Santa
32,18000,-92.75,57.25,997000.0,69.60600000000001,71.3,1915,2006,190.0,CA,,Nelson
10,17979,106.25,9.75,545000.0,300.351,82.6,1923,2005,-9999.0,LA,AS,Mekong
181,17838,-37.75,-4.75,48200.0,3.6919999999999997,32.1,1961,2006,50.0,BR,SA,Jaguaribe
86,17619,-123.25,45.25,18855.0,21.004,91.0,1909,2006,32.4,US,,Willamette
67,17586,-88.25,30.75,56894.0,29.624000000000002,76.5,1930,2006,0.1,US,,Alabama
198,17500,115.75,-31.75,118200.0,0.374,29.8,1970,2000,20.3,WX,AU,Avon
99,17368,31.25,60.75,61275.0,18.72,102.0,1900,2001,72.0,FI,EU,Vuoksi
76,17308,39.25,47.25,378000.0,24.447,92.9,1900,1995,58.0,RU,EU,Don
114,17059,-8.75,41.25,91491.0,17.317,36.8,1933,1969,44.0,PT,EU,Douro
47,16977,-68.25,58.25,86800.0,40.591,37.7,1954,1999,67.0,CA,,Caniapiscau
69,16897,-78.25,52.25,44300.0,28.659000000000002,42.0,1959,2001,35.0,CA,,Eastmain
30,16744,-122.75,48.75,217000.0,85.43,93.8,1912,2005,38.0,CA,,Fraser
81,16667,-66.25,58.75,35200.0,23.462,15.8,1962,1979,104.0,CA,,George
61,16667,78.75,67.25,100000.0,32.805,32.1,1962,1996,-9999.0,RU,AS,Taz
16,16062,-67.75,48.75,773888.0,224.65400000000002,106.8,1900,2006,47.0,US,,St
107,16000,-87.75,56.25,94300.0,19.933,22.6,1970,1994,50.0,CA,,Severn-CA
33,15897,106.75,73.25,275000.0,87.626,13.4,1961,1994,-9999.0,RU,AS,Khatanga
63,15882,-57.25,5.75,51600.0,34.266999999999996,7.0,1973,1979,9.0,SR,SA,Courantyne/Cora
39,15714,10.25,3.75,131500.0,62.633,36.6,1943,1980,25.0,CM,AF,Sanaga
82,15385,39.25,-7.75,158200.0,25.738000000000003,16.6,1954,1978,64.0,TZ,AF,Rufiji
186,15313,129.75,-15.25,44900.0,4.205,39.5,1953,2001,40.0,NT,AU,Victoria
15,15233,95.75,17.75,117900.0,256.783,11.0,1978,1988,-9999.0,MM,AS,Irrawaddy
43,15085,-92.25,18.25,50743.0,58.593999999999994,46.0,1949,2000,60.0,MX,,Usumacinta
53,15000,-162.25,60.25,80549.0,37.743,54.3,1951,2006,61.0,AK,,Kuskokwim
59,14865,-74.25,45.75,89600.0,36.484,91.8,1914,2005,70.0,CA,,Ottawa
74,14839,-76.25,39.25,62419.0,30.392,106.8,1900,2006,88.4,US,,Susquehanna
108,14762,-158.25,58.75,25511.0,20.987,16.0,1977,1993,27.4,AK,,Nushagak
57,14737,46.25,31.75,134000.0,38.193000000000005,34.1,1906,1972,34.0,IQ,AM,Tigris
21,14651,-123.75,46.25,613827.0,164.86,106.8,1900,2006,0.0,US,,Columbia
44,14576,-54.25,5.75,63700.0,51.629,45.0,1951,1995,10.0,SR,SA,Maroni
131,14375,10.25,-2.75,20000.0,16.315,6.3,1965,1974,-9999.0,GA,AF,Nyanga
11,14354,-49.25,-2.25,742300.0,357.689,49.4,1978,2006,1.9,BR,SA,Tocantins
80,14286,-51.75,3.75,25100.0,26.381,42.8,1953,1996,103.0,GF,SA,Oyapock
