m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
12273 9.25 53.75 123532.0 21.423 102.0 1900 2001 17.0 DE EU Elbe (Labe)
10000 -138.25 59.25 28024.0 27.300 31.3 1974 2006 0.0 AK NA Alsek PAC
12857 -88.25 31.75 39847.1 21.223 78.2 1928 2006 17.1 US NA Tombigbee River
10000 -41.25 -21.75 55500.0 26.226 78.9 1928 2006 14.0 BR SA Paraiba do
10833 -41.75 -3.25 282000.0 24.037 43.3 1963 2006 20.0 BR SA Parnaiba ATL
10417 48.25 30.75 60769.0 23.437 66.4 1900 1985 20.0 IR AS Karun IND
9259 -54.75 -6.25 34693.0 27.196 20.7 1975 1998 -9999.0 BR SA Curua-2 ATL
12500 43.75 66.25 56400.0 20.219 84.4 1920 2006 19.0 RU EU Mezen ARC
13889 118.25 5.75 10800.0 16.285 3.8 1981 1985 -9999.0 MY AS Kinabatangan PAC
10000 -72.75 46.75 42000.0 23.266 94.0 1901 1994 99.0 CA NA Saint-Maurice ATL
14375 10.25 -2.75 20000.0 16.315 6.3 1965 1974 -9999.0 GA AF Nyanga ATL
12778 -47.75 -1.75 38178.0 18.376 33.7 1971 2006 -9999.0 BR SA Capim ATL
12941 -93.16 17.98 9000.0 4.546 3.0 1976 1978 -9999.0 MX NA Rompido de
10000 -16.25 16.25 268000.0 21.691 94.7 1903 2000 14.0 SN AF Senegal ATL
10000 -95.75 18.75 21419.0 21.514 51.0 1948 2000 22.0 MX NA Papaloapan ATL
11053 46.25 31.75 274100.0 19.149 18.0 1923 1972 28.0 IQ AM Euphrates (Fira
10000 11.25 59.75 40221.0 21.211 83.3 1901 1984 100.0 NO EU Glomma (Gläma
10000 -85.25 29.75 44548.0 19.987 78.0 1928 2006 12.4 US NA Apalachicola ATL
13333 71.75 66.25 48000.0 14.420 38.1 1955 2005 -9999.0 RU AS Nadym ARC
11765 14.25 53.75 109729.0 16.724 100.2 1900 2000 3.0 PL EU Odra (Oder)
11875 24.25 56.75 70350.0 15.750 58.8 1906 1985 75.0 LV EU Daugava (Zapadn
10000 -92.75 56.75 103000.0 19.187 28.4 1974 2006 -9999.0 CA NA Hayes, MB
11176 -76.99 55.23 36300.0 16.634 37.1 1961 2001 -9999.0 CA NA GR Baleine
10000 43.75 -21.75 53225.0 16.646 26.0 1951 1983 -9999.0 MG AF Mangoky IND
10000 -69.75 58.75 41700.0 18.513 30.3 1962 1993 4.0 CA NA Feuilles (R
10000 -69.75 57.75 42700.0 18.980 34.6 1962 1999 27.0 CA NA Melezes (R
10000 -94.25 58.75 287000.0 18.357 71.8 1928 2006 -9999.0 CA NA Churchill ATL
10000 102.25 5.75 11900.0 17.284 50.2 1949 2000 25.0 MY AS Kelantan PAC
10000 168.75 -46.25 20306.0 17.355 29.1 1954 1984 10.0 NZ PO Clutha PAC
10000 9.25 5.75 6810.0 17.097 12.6 1967 1979 44.0 CM AF Cross ATL
10000 24.75 65.75 50599.0 17.168 91.0 1911 2001 17.0 FI EU Kemi ATL
10000 11.75 57.75 46858.0 16.505 104.0 1900 2003 44.0 SE EU Gota ATL
10000 126.75 37.25 25046.0 16.583 24.5 1947 1979 2.0 KR AS Han PAC
10625 -95.75 67.25 93900.0 14.913 40.1 1965 2006 27.0 CA NA Back ARC
10000 38.25 63.75 55735.0 16.106 60.0 1943 2006 10.0 RU EU Onega ARC
10000 72.75 21.25 61575.0 15.428 27.3 1940 1979 -9999.0 IN AS Tapi (Tapti)
12308 113.75 73.25 78800.0 14.449 48.1 1954 2005 -9999.0 RU AS Anabar ARC
10000 -39.25 -16.25 67769.0 14.445 65.3 1936 2006 -9999.0 BR SA Jequitinhonha ATL
12727 37.75 45.25 48100.0 11.837 86.8 1911 1998 5.0 RU EU Kuban MED
10000 -98.25 22.25 58115.0 13.614 23.0 1957 1979 80.0 MX NA Pánuco ATL
11667 33.75 -24.75 342000.0 11.677 3.2 1976 1979 23.0 MZ AF Limpopo IND
10000 -85.25 55.25 50000.0 13.304 37.5 1965 2005 100.0 CA NA Winisk ATL
10000 0.75 40.75 84230.0 14.820 72.0 1913 1999 8.0 ES EU Ebro MED
10000 27.75 59.25 56000.0 12.453 85.6 1902 1991 -9999.0 EE EU Narva ATL
9211 -114.75 31.75 444701.0 12.360 72.5 1934 2006 31.4 US NA Colorado-AR PAC
10000 1.25 49.75 65000.0 10.527 7.0 1971 1977 -9999.0 FR EU Seine ATL
10000 -115.25 67.75 50700.0 9.031 40.7 1965 2006 -9999.0 CA NA Coopermine ARC
11000 30.25 46.25 66100.0 9.868 56.9 1900 1985 2.0 MD EU Dnestr MED
10000 -9.25 39.25 67490.0 9.981 72.0 1913 1990 200.0 PT EU Tagus (Tejo,
13378 -44.25 -2.75 50800.0 7.455 42.6 1968 2006 15.0 BR SA Itapecuru ATL
10000 147.25 -19.75 129450.0 8.897 77.7 1921 2000 9.0 QX AU Burdekin PAC
11059 139.25 -35.25 991000.0 8.518 69.9 1930 2000 48.6 VX AU Murray IND
10120 161.25 68.25 49600.0 8.415 23.0 1978 2000 -9999.0 RU AS Bolshoy Anyuy
10000 -105.25 21.75 128943.0 8.375 26.0 1956 1981 39.0 MX NA Grande de
10000 -4.75 5.25 95500.0 8.300 38.0 1954 1991 13.0 CI AF Bandama ATL
10000 79.75 10.75 74004.0 7.702 5.0 1971 1979 58.0 IN AS Cauvery IND
12295 42.75 0.75 179520.0 6.086 25.8 1951 1979 -9999.0 SO AF Juba IND
10000 150.75 -23.25 135860.0 13.822 85.7 1914 2001 -9999.0 QX AU Fitzroy-QX PAC
10597 -95.25 29.25 116568.0 6.704 87.5 1903 2006 8.5 US NA Brazos ATL
11333 -3.75 5.25 66500.0 5.776 41.8 1953 1994 120.0 CI AF Comoé (Komoé)
17838 -37.75 -4.75 48200.0 3.692 32.1 1961 2006 50.0 BR SA Jaguaribe ATL
10000 130.25 -13.25 46600.0 7.651 31.8 1969 2001 15.0 NT AU Daly IND
10000 2.25 6.75 46990.0 5.443 33.8 1948 1992 -9999.0 BJ AF Ouémé ATL
10833 -7.25 37.25 60883.0 4.874 43.9 1946 1990 30.0 PT EU Guadiana ATL
10870 -129.25 69.75 56300.0 4.619 30.4 1969 2006 -9999.0 CA NA Anderson ARC
15313 129.75 -15.25 44900.0 4.205 39.5 1953 2001 40.0 NT AU Victoria IND
20000 135.25 -14.75 47400.0 3.147 32.8 1966 2001 15.5 AU AU Roper PAC
13143 122.25 40.75 120764.0 3.512 56.8 1938 2000 -9999.0 CN AS Liao PAC
10000 16.75 -28.25 850530.0 6.884 65.2 1935 2001 -9999.0 ZA AF Orange (Senqu)
10488 -38.75 -12.75 53866.0 4.060 56.1 1964 2006 50.0 BR SA Paraguacu ATL
10000 -39.25 -14.25 56290.0 3.415 70.1 1935 2006 50.0 BR SA Contas [de]
10313 -6.25 36.75 46995.0 9.966 75.9 1913 1994 10.0 ES EU Guadalquivir ATL
13200 -110.25 27.75 57908.0 2.478 4.0 1976 1979 480.0 MX NA Yaqui PAC
10000 -95.75 28.75 108787.0 2.583 74.7 1919 2006 16.0 US NA Colorado-TX ATL
10000 -97.25 25.75 456700.0 1.499 67.0 1934 2000 -9999.0 US NA Rio Grande
10000 118.75 -20.25 49895.0 1.447 22.7 1974 2000 26.0 WX AU de Grey
10000 113.75 -24.75 73545.0 0.718 41.3 1957 1998 16.9 WX AU Gascoyne IND
17500 115.75 -31.75 118200.0 0.374 29.8 1970 2000 20.3 WX AU Avon IND
10000 116.25 -21.25 48945.0 0.265 29.8 1968 1998 -9999.0 WX AU Fortescue IND
10000 114.25 -27.75 84880.0 0.175 31.5 1967 1999 -9999.0 WX AU Murchison IND
10000 -92.75 18.25 37702.0 16.920 32.6 1947 1981 18.0 MX NA Grijalva ATL
10000 -67.58 57.88 29800.0 15.975 38.5 1956 1999 26.0 CA NA Baleine (R
10000 -155.90 59.33 16835.0 15.997 20.2 1967 1987 13.7 AK NA Kvichak PAC
10000 138.80 37.30 9719.0 15.856 50.0 1951 2000 40.0 JP AS Shinano PAC
10000 -124.00 41.51 31339.0 15.941 63.3 1910 1999 -9999.0 US NA Klamath PAC
10000 21.67 65.80 24707.0 15.811 102.0 1900 2003 11.0 SE EU Lule ATL
10000 -59.60 50.70 19100.0 15.465 13.9 1965 1980 50.0 CA NA Petit Mecatina
10000 -53.70 -0.42 30945.0 15.451 16.3 1973 1989 -9999.0 BR SA Parú de
10000 45.53 -19.80 17990.0 15.499 3.3 1980 1983 -9999.0 MG AF Mania IND
10000 137.50 52.70 41000.0 15.224 44.4 1941 1985 92.0 RU AS Amgun PAC
10000 -84.68 13.07 15073.0 15.803 10.7 1971 1982 -9999.0 NI CA Grande de
